,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,마주복색,도착차,마체중,단승,연승,장구현황
0,,,,,,,,,,,,,,,,,
1,1,1,하얀민들레,한,암,3세,54,,이현종,박대흥,김원숙,,,475(18),1.8,1.0,"망사+, 망사눈-"
2,2,2,피코탕,한,수,3세,56,,부민호,정지은,강동구,,3,529(-8),6.0,1.6,
3,3,8,천하제왕,한,수,3세,56,,김용근,이희영,오왕근,,3,482(-6),5.6,1.7,망사+
4,4,7,스페셜빅씨,한,암,3세,54,,이혁,곽영효,이효선,,1¼,502(-1),13.6,2.9,
5,5,4,아주패왕,한,거,3세,56,,정평수,지용훈,남기태,,코,456(-5),25.7,5.4,망사눈
6,6,6,태산압정,한,암,3세,54,,박병윤,박천서,말사모,,3,467(8),14.0,3.5,눈가면
7,7,3,클래스샷,한,암,3세,54,,김혜선,손영표,정안,,½,476(-2),56.1,12.6,승인재갈+
8,8,10,삼다불꽃,한,수,3세,56,,문정균,박흥진,송용식,,5,489(6),32.5,7.3,
9,9,5,킹스버리,한,수,3세,55,,(-1)정정희,서홍수,아서 잉글리스,,½,486(3),170.7,35.0,망사+
10,10,11,가속대장,한,수,3세,56,,송재철,최봉주,코리아호스랜드,♠,½,488(-11),11.9,2.5,눈가면
11,11,9,황금연못,한,암,3세,52,,(-2)김태훈,김점오,박양호,,1,435(-1),55.5,8.6,망사눈
