STUDENT_ID,필통,충전기,텀블러,노트북,책,파우치,지갑,안경집,치솔셋트,핸드크림,우산,향수,해드셋,차키,집키,성별,예상연봉액,희망취업분야,
0,1,2,1,1,0,1,1,0,1,0,1,0,0,1,0,남,300000000,CTO,Z
1,1,2,1,1,5,0,1,1,1,0,1,0,1,1,1,남,30000000,Developer,J
2,1,1,0,1,9,0,1,0,0,0,0,0,1,0,0,남,30000000,Developer,S
3,0,2,0,1,1,0,1,1,1,1,1,0,1,0,1,여,40000000,SE,B
4,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,여,30000000,Developer,B
6,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,여,30000000,Developer,F
7,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,남,30000000,Data Scientist,H
8,1,1,0,0,7,0,1,0,1,0,1,0,1,0,0,남,30000000,Consultant,Z
10,1,1,0,1,3,0,0,0,0,0,1,0,1,0,0,남,27500000,Developer,O
11,0,2,0,1,0,0,1,0,0,0,0,1,1,1,2,남,30000000,Developer,U
12,1,1,1,1,4,0,1,1,1,1,1,0,1,0,1,남,32000000,Developer,M
13,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,남,35000000,Developer,G
14,1,2,2,1,2,0,1,0,1,0,2,0,0,0,0,남,40000000,SE,F
15,1,1,0,0,3,0,1,0,1,0,0,1,1,0,0,여,30000000,Developer,S
16,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,여,30000000,Developer,C
17,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,여,30000000,SE,V
18,1,1,0,0,5,1,2,0,1,0,0,0,1,0,0,여,30000000,Developer,K
19,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,남,36000000,Developer,G
20,1,1,0,1,5,0,1,0,1,0,0,0,1,0,0,남,40000000,Developer,K
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,남,100000000,Freelancer,N
22,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,남,100000000,Developer,L
24,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,여,30000000,Developer,H
25,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,여,35000000,Developer,M
27,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,남,40000000,Developer,A
28,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,남,100000000,CEO,H
29,1,1,0,0,6,0,1,3,1,1,1,1,1,0,0,남,30000000,Developer,G
